image_name,x1,y1,x2,y2,class
store1_1.jpg,204,632,822,2122,object
store1_1.jpg,776,612,1297,1995,object
store1_1.jpg,1164,619,1606,1930,object
store1_1.jpg,1560,586,1935,1800,object
store1_1.jpg,1956,522,2297,1719,object
store1_1.jpg,2273,535,2585,1606,object
store1_1.jpg,2555,801,2803,1585,object
store1_1.jpg,476,2353,1003,3432,object
store1_1.jpg,995,2214,1404,3247,object
store1_1.jpg,1408,2096,1785,3128,object
store1_1.jpg,1790,2037,2104,2973,object
store1_1.jpg,2053,1952,2352,2837,object
store1_1.jpg,2349,1893,2665,2740,object
store1_1.jpg,2623,1838,2926,2664,object
store1_1.jpg,1906,3112,2218,3871,object
store1_1.jpg,2180,2973,2445,3711,object
store1_1.jpg,2446,2855,2686,3563,object
store1_1.jpg,2669,2770,2922,3440,object
store1_1.jpg,2759,735,2978,1453,object
store1_1.jpg,1078,3585,1381,4032,object
store1_1.jpg,1403,3435,1759,4016,object
store1_1.jpg,1740,3266,1953,3972,object
store1_1.jpg,671,3678,1046,4028,object
store1_10.jpg,20,297,444,1178,object
store1_10.jpg,635,270,1031,1166,object
store1_10.jpg,1078,275,1436,1159,object
store1_10.jpg,1425,247,1814,1131,object
store1_10.jpg,6,1693,424,2770,object
store1_10.jpg,408,1683,798,2736,object
store1_10.jpg,767,1683,1150,2770,object
store1_10.jpg,1147,1683,1530,2770,object
store1_10.jpg,1528,1683,1911,2753,object
store1_10.jpg,1835,256,2226,1309,object
store1_10.jpg,2610,245,2989,1308,object
store1_10.jpg,3288,232,3695,1295,object
store1_10.jpg,1984,1731,2367,2763,object
store1_10.jpg,2756,1742,3163,2781,object
store1_10.jpg,3160,1783,3590,2863,object
store1_10.jpg,2225,256,2616,1309,object
store1_10.jpg,2984,245,3311,1308,object
store1_10.jpg,3697,232,4024,1309,object
store1_10.jpg,2376,1738,2759,2742,object
store1_10.jpg,3591,1711,3976,2708,object
store1_100.jpg,39,516,1584,2412,object
store1_100.jpg,1627,559,2799,2396,object
store1_100.jpg,2800,555,3941,2392,object
store1_101.jpg,520,1,1592,1340,object
store1_101.jpg,1529,1,2636,1396,object
store1_101.jpg,2711,23,3881,1462,object
store1_101.jpg,122,1644,882,2684,object
store1_101.jpg,823,1636,1709,2676,object
store1_101.jpg,1797,1726,2746,2747,object
store1_101.jpg,2731,1833,3728,2865,object
store1_101.jpg,8,49,547,1359,object
store1_101.jpg,3704,16,4032,1375,object
store1_101.jpg,3518,1830,4028,2983,object
store1_101.jpg,8,1659,218,2545,object
store1_102.jpg,512,268,2258,2365,object
store1_102.jpg,2242,461,3641,2325,object
store1_102.jpg,23,411,575,2430,object
store1_102.jpg,3628,535,4028,2178,object
store1_103.jpg,851,23,1856,1521,object
store1_103.jpg,1840,161,2742,1576,object
store1_103.jpg,2731,181,3582,1486,object
store1_103.jpg,1202,1880,2210,2944,object
store1_103.jpg,2226,1916,3081,2980,object
store1_103.jpg,248,1915,1237,2940,object
store1_103.jpg,8,6,604,1592,object
store1_103.jpg,332,45,889,1473,object
store1_103.jpg,3570,68,4023,1516,object
store1_103.jpg,3066,1906,3789,2835,object
store1_103.jpg,3675,1911,4008,2768,object
store1_103.jpg,8,1921,385,2921,object
store1_104.jpg,118,654,910,2759,object
store1_104.jpg,851,638,1658,2782,object
store1_104.jpg,1604,611,2344,2767,object
store1_104.jpg,2435,634,3156,2644,object
store1_104.jpg,3117,587,3885,2581,object
store1_105.jpg,358,824,1363,2929,object
store1_105.jpg,1320,745,2214,2826,object
store1_105.jpg,2187,674,3077,2779,object
store1_105.jpg,3062,607,3917,2818,object
store1_105.jpg,23,1125,613,2973,object
store1_106.jpg,508,587,1406,2605,object
store1_106.jpg,1383,544,2273,2605,object
store1_106.jpg,2297,532,3018,2590,object
store1_106.jpg,3019,528,3842,2558,object
store1_106.jpg,23,673,656,2659,object
store1_107.jpg,137,488,1149,2707,object
store1_107.jpg,1095,425,1973,2735,object
store1_107.jpg,1939,437,2892,2617,object
store1_107.jpg,2873,406,3803,2669,object
store1_107.jpg,18,1030,385,2721,object
store1_108.jpg,136,126,735,1971,object
store1_108.jpg,652,105,1272,1992,object
store1_108.jpg,1262,136,1814,1954,object
store1_108.jpg,1966,194,2523,1970,object
store1_108.jpg,2571,120,3024,1734,object
store1_108.jpg,244,2440,881,3971,object
store1_108.jpg,876,2413,1508,3982,object
