image_name,x1,y1,x2,y2,class
store1_132.jpg,541,261,963,1076,object
store1_132.jpg,289,365,537,1076,object
store1_132.jpg,11,402,286,1087,object
store1_132.jpg,11,1294,337,2154,object
store1_132.jpg,1134,613,1593,1098,object
store1_132.jpg,1623,513,2134,1102,object
store1_132.jpg,2141,576,2726,1105,object
store1_132.jpg,2737,342,3263,1117,object
store1_132.jpg,260,1668,1330,2231,object
store1_132.jpg,456,1254,1304,1654,object
store1_132.jpg,1445,1283,2156,1613,object
store1_132.jpg,1419,1731,2374,2191,object
store1_132.jpg,2426,1676,3189,1928,object
store1_132.jpg,2189,1302,2797,1579,object
store1_133.jpg,556,467,921,1127,object
store1_133.jpg,1186,412,1601,1067,object
store1_133.jpg,1591,322,1991,1007,object
store1_133.jpg,1906,172,2421,1007,object
store1_133.jpg,11,642,496,1192,object
store1_133.jpg,11,1327,351,2167,object
store1_133.jpg,306,1292,781,2142,object
store1_133.jpg,1296,1262,1761,2057,object
store1_133.jpg,1061,2267,1716,3047,object
store1_133.jpg,536,2292,911,2837,object
store1_133.jpg,1721,2257,2206,2872,object
store1_133.jpg,2206,2252,2448,2933,object
store1_133.jpg,1746,1217,2448,1541,object
store1_133.jpg,1781,1567,2436,2092,object
store1_133.jpg,907,1384,1207,1927,object
store1_134.jpg,316,1542,1341,2002,object
store1_134.jpg,551,1112,1281,1432,object
store1_134.jpg,1336,1087,2046,1402,object
store1_134.jpg,1431,1432,2316,1752,object
store1_134.jpg,1136,162,1741,792,object
store1_134.jpg,1771,52,2448,787,object
store1_134.jpg,931,2202,1286,2762,object
store1_134.jpg,1306,2197,1831,2997,object
store1_134.jpg,1846,2197,2336,3002,object
store1_134.jpg,226,2212,831,3002,object
store1_134.jpg,16,2212,236,2992,object
store1_134.jpg,531,142,1126,827,object
store1_134.jpg,106,322,546,837,object
store1_136.jpg,21,927,1211,1342,object
store1_136.jpg,16,1337,1241,1747,object
store1_136.jpg,1356,977,2431,1367,object
store1_136.jpg,1366,1382,2441,1752,object
store1_136.jpg,406,1957,1496,2192,object
store1_136.jpg,406,2187,1506,2422,object
store1_136.jpg,356,2412,1431,2622,object
store1_136.jpg,386,2612,1466,2842,object
store1_136.jpg,391,2827,1451,3042,object
store1_136.jpg,1621,2217,2446,2412,object
store1_136.jpg,1601,2432,2421,2832,object
store1_136.jpg,1566,2847,2411,3057,object
store1_137.jpg,1781,892,2226,1427,object
store1_137.jpg,2211,1022,2446,1442,object
store1_137.jpg,616,707,1071,1457,object
store1_137.jpg,1101,662,1546,1452,object
store1_137.jpg,216,2247,1446,2547,object
store1_137.jpg,191,2562,1461,2872,object
store1_137.jpg,1501,2272,2426,2562,object
store1_137.jpg,1501,2582,2431,2857,object
store1_14.jpg,1,5,348,576,object
store1_14.jpg,352,9,763,594,object
store1_14.jpg,763,2,1226,631,object
store1_14.jpg,1289,20,1700,657,object
store1_14.jpg,1730,61,2119,676,object
store1_14.jpg,2141,109,2500,694,object
store1_14.jpg,2637,17,3123,694,object
store1_14.jpg,8,817,334,1461,object
store1_14.jpg,371,839,726,1428,object
store1_14.jpg,723,854,1167,1483,object
store1_14.jpg,1178,879,1600,1513,object
store1_14.jpg,1648,939,1874,1509,object
store1_14.jpg,1882,946,2119,1517,object
store1_14.jpg,2134,950,2360,1520,object
store1_14.jpg,2386,972,2611,1528,object
store1_14.jpg,4,1650,297,2287,object
store1_14.jpg,282,1661,741,2291,object
store1_14.jpg,752,1691,1186,2287,object
store1_14.jpg,1219,1698,1630,2291,object
store1_14.jpg,1656,1731,2056,2305,object
store1_14.jpg,2060,1672,2419,2224,object
store1_14.jpg,2437,1683,2841,2202,object
store1_14.jpg,2860,1705,3252,2302,object
store1_14.jpg,2634,1009,2837,1272,object
store1_14.jpg,2841,1017,3004,1283,object
store1_14.jpg,3000,1020,3167,1265,object
store1_14.jpg,3167,1024,3264,1249,object
store1_14.jpg,2623,1279,2819,1535,object
store1_14.jpg,2826,1283,3004,1531,object
store1_14.jpg,2997,1287,3182,1528,object
store1_14.jpg,3186,1287,3264,1535,object
store1_15.jpg,171,192,601,852,object
store1_15.jpg,591,172,1076,882,object
store1_15.jpg,1106,272,1501,947,object
store1_15.jpg,1521,292,1911,927,object
store1_15.jpg,1906,367,2256,947,object
store1_15.jpg,1,1072,131,1677,object
store1_15.jpg,181,1072,571,1667,object
store1_15.jpg,556,1092,1001,1722,object
